image,prompt
images/image_000.png,"make a cropped blouse, add huge bow to the neckline that is closed at the right side, it is closed up the narrow to the neck, keep the long sleeves"
images/image_001.png,"make it a cropped blouse, keep long sleeves, add a peplum like frill to the narrow neck line"
images/image_002.png,"remove sleeves, add peplum"
images/image_003.png,"remove sleeves, add frill to the hem in same fabric"
images/image_004.png,"divide into two pieces: a cropped top without sleves and a long wide skirt with slit at center front that is belted at the waist, keep the silhouette of the initial coat"
images/image_005.png,"make a long voluminous skirt from this, belted as the initial coat, add topstitched rectangle pockets to the front"
images/image_006.png,"shorten the coat to cropped top, add a silver coating to the shwal collar"
images/image_007.png,cut the top to have a wide straight long wrap skirt belted at the side
images/image_008.png,cut the bottom to have a wide straight cropped top
images/image_009.png,replace upper part by yellow tulle shoulder yoke
images/image_010.png,add yellow tulle stripes to the side seams to bow front panel and back panel together
images/image_011.png,cut the top part to have a belted straight wide wrap skirt as the bottom part already is
images/image_012.png,cut the bottom part to have a cropped sleeveless vest
images/image_013.png,dip into back colour from bottom up to hipline
images/image_014.png,"colour the printed design of the dress as if overpainted by hand partly, keeping the white ground, use at all light rose beige shades, add white tulle frame to sleeves hem and hem"
images/image_015.png,"cut the bottom part, half of the piece and replace by black tulle bottom part"
images/image_016.png,"cut the sleeves make the shoulder higher and armhole with a black tulle framing, apply black tulle pieces to elevate the print design (on eyes and mouth)"
images/image_017.png,"put 30cm wide tulle straps that cross in center front to the cleavage, show bows on the shoulder with straps end hanging down for 50cm"
images/image_018.png,"put 30cm wide tulle strap only on the right side that cross in center front to the cleavage, show bows on the shoulder with straps end hanging down for 50cm"
images/image_019.png,add thick black thread stitches horizontally
images/image_020.png,attach gathered black raw edged black fabric tapes narrow and vertically in the shape of a bib to highlight the chest part of the blouse
images/image_021.png,attach a black padded bib opened in the center front n the width of the button placket
images/image_022.png,topstitch the upper part with thick thread in the shape of a womans portrait
images/image_023.png,dipdye in rose beige from buttom
images/image_024.png,"make longer by adding white tulle underskirt that looks 10cm out of the long skirt part, add long white tulle sleeves"
images/image_025.png,"make longer by adding white tulle underskirt that looks 20cm out of the long skirt part, add long white wing sleeves"
images/image_026.png,add black tulle shoulder yoke and long tulle sleeves as well as ablack tulle hemframe
images/image_027.png,"topstitch huge black tulle breast pockets over the initial position, cut the bottom part of the dress and add a transparent tulle layer skirtpart"
images/image_028.png,insert 10cm wide black tulle stripe to the sideseam
images/image_029.png,remove sleeves add a transparent tulle stripe that is inserted to the waistline as another fabric block
images/image_030.png,"shorten the dress to knee length, shorten sleeves to 3/4 sleeve, add voluminous bow with long bands to the waistline to gather voluminius skirt"
images/image_031.png,"make a short very puffy sleeve, add hemframe in goldlamé fabric to the kneelength volumninous skirt, remove the waistband"
images/image_032.png,"insert 20cm wide white tulle stripe vertically to centerfront and sideseams and center back to make the dress wider and belt the volume in the waistwith bow, shorten sleeve"
images/image_033.png,remove sleeves add 20cm long flat peplum
images/image_034.png,"make the item longer by adding one same jacket sewn upside down to the hem (hem to hem), it is opened to the bottom by cutting the shoulder and neckline, remove all sleeves to get a midi slip dress"
images/image_035.png,"add scarf in same fabric to the neckline, shorten sleeves"
images/image_036.png,shorten sleeve attach balloon pockets to the short sleeves
images/image_037.png,"attach frame to the hem in same fabric, add padded stiff wrapped scarf in same fabric"
images/image_038.png,remove collar and sleeves
images/image_039.png,make cutouts in the waistline
images/image_040.png,cut away collar and sleeves make longer with a hem frame in same fabric
images/image_041.png,"shorten as cropped jacket, attach shoulder epaulettes in same fabric"
images/image_042.png,"make the item longer by sewing another same blouse to the hem, the shoulder and neckline of second other bottom blouse is cut away to be be attached to the hem, sleeves of lower blouse are now at the hipline and can be used as belt"
images/image_043.png,"make crop top, add ruffle in same fabric to the armhole and shoulder seam to highlicht shoulder"
images/image_044.png,insert tulle shoulder yoke
images/image_045.png,add wide tulle sleeves
images/image_046.png,add voluminous tulle bow to gather the neckline
images/image_047.png,add tulle hemframe
images/image_048.png,add wide tulle sleeves
images/image_049.png,add voluminous tulle bow to gather the neckline
images/image_050.png,"add voluminous tulle bow to gather the neckline, shorten to blouse and make wide sleeves in same fabric"
images/image_051.png,"betone die raffung mit einem zusätzlich aufgesteppten weissen band, mache weisse grobe vertikale stiche auf das rückteil"
images/image_052.png,"insert white wide back panel below the gathering, make it a bit longer like a train"
images/image_053.png,add more horizontal drawstrings to the backpanel to tighten it
images/image_054.png,add frame of white fabric to the horzontal pleat at the chest and to the sideseams
images/image_055.png,add frame of 10cm white gathered tulle to the horizontal pleat at the chest and to the sideseam
images/image_056.png,add frame of 10cm black tulle to the horizontal pleat at the chest and to the hem
images/image_057.png,add a white volant to the hem to fill the gap
images/image_058.png,add a black transparent volant to the hem to fill the gap straight
images/image_059.png,cut the bottompart of the skirt and gather it to the waist like a hugne peplum
images/image_060.png,"Vorne geschlossen

Ärmel entfernen

Einen transparenten langen schwarzen Rockteil unten ansetzen

Ballonartige eckige Taschen aus dem Jackenstoff hinzufügen"
