row_number,instruction,original_path,edited_path,model_path,semantic_consistency,perceptual_quality,overall,rationale
2,"make a cropped blouse, add huge bow to the neckline that is closed at the right side, it is closed up the narrow to the neck, keep the long sleeves",extracted_images/2.png,local_model_evaluation_results/edited_images/2_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully follows the instruction to create a cropped blouse with a huge bow at the neckline that is closed at the right side. The long sleeves are also preserved. The visual quality of the edited image is good, with the bow and cropped design well-executed. However, there are minor inconsistencies in the fabric texture around the bow and neckline, which slightly detract from the overall realism."
3,"make it a cropped blouse, keep long sleeves, add a peplum like frill to the narrow neck line",extracted_images/3.png,local_model_evaluation_results/edited_images/3_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,8,8.0,"The edited image successfully transforms the original blouse into a cropped version with long sleeves and adds a peplum-like frill to the narrow neckline. The visual quality is good, with the new design elements well-integrated into the original pattern. However, there are minor inconsistencies in the frill's alignment and slight distortions in the sleeves, which slightly detract from the overall perfection."
4,"remove sleeves, add peplum",extracted_images/4.png,local_model_evaluation_results/edited_images/4_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully removes the sleeves and adds a peplum, closely following the instruction. The visual quality is high, with the peplum seamlessly integrated into the design. The only minor issue is a slight distortion at the peplum's edge, which slightly affects the overall score."
5,"remove sleeves, add frill to the hem in same fabric",extracted_images/5.png,local_model_evaluation_results/edited_images/5_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully removes the sleeves and adds a frill to the hem, closely following the instruction. The frill is well-integrated with the fabric, maintaining a consistent pattern and color. However, there are minor visual artifacts around the hemline, slightly affecting the perceptual quality."
6,"divide into two pieces: a cropped top without sleves and a long wide skirt with slit at center front that is belted at the waist, keep the silhouette of the initial coat",extracted_images/6.png,local_model_evaluation_results/edited_images/6_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully divides the original coat into two pieces as instructed: a cropped top without sleeves and a long wide skirt with a slit at the center front that is belted at the waist. However, the cropped top appears slightly unnatural in its proportions and the transition between the top and the skirt is not perfectly seamless. The overall visual quality is good but could be improved with more precise editing."
7,"make a long voluminous skirt from this, belted as the initial coat, add topstitched rectangle pockets to the front",extracted_images/7.png,local_model_evaluation_results/edited_images/7_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully transforms the coat into a long voluminous skirt, maintaining the belted style from the original coat. The topstitched rectangle pockets are also added to the front, following the instruction closely. However, the visual quality of the edited image shows some minor distortions and unnatural folds in the fabric, which slightly reduces the perceptual quality."
8,"shorten the coat to cropped top, add a silver coating to the shwal collar",extracted_images/8.png,local_model_evaluation_results/edited_images/8_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully shortens the coat to a cropped top, which aligns well with the instruction. However, the silver coating on the shawl collar is not clearly visible, which slightly reduces the semantic consistency score. The visual quality of the edited image is good, but the transition between the original and edited areas could be smoother. Overall, the edit is quite successful but has minor areas for improvement."
9,cut the top to have a wide straight long wrap skirt belted at the side,extracted_images/9.png,local_model_evaluation_results/edited_images/9_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,8,7,7.5,"The edited image successfully follows the instruction to 'cut the top to have a wide straight long wrap skirt belted at the side.' The top has been removed and the garment now resembles a strapless dress with a wide skirt, which is belted at the side. However, the visual quality of the edited image is slightly less smooth, with some minor distortions and unnatural folds in the fabric, which slightly detracts from the overall aesthetic."
10,cut the bottom to have a wide straight cropped top,extracted_images/10.png,local_model_evaluation_results/edited_images/10_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,9,9.0,"The edited image successfully follows the instruction to 'cut the bottom to have a wide straight cropped top.' The garment's bottom has been neatly cropped, resulting in a wide, straight top. The visual quality of the edited image is high, with minimal distortion and a clean, professional appearance."
11,replace upper part by yellow tulle shoulder yoke,extracted_images/11.png,local_model_evaluation_results/edited_images/11_edited.png,/sc/home/felix.boelter/recreategoods/qwen-image-edit-finetune/models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,9,8,8.5,"The edited image successfully replaces the upper part of the T-shirt with a yellow tulle shoulder yoke, closely following the instruction. The visual quality is good, with the yellow tulle blending well with the rest of the T-shirt. However, there are minor inconsistencies in the way the text 'I ❤️ HOW YOU MAKE ME FEEL' is positioned, which slightly affects the overall score."
