row_number,instruction,original_path,edited_path,model_path,lora_name,semantic_consistency,perceptual_quality,overall,rationale
2,"make a cropped blouse, add huge bow to the neckline that is closed at the right side, it is closed up the narrow to the neck, keep the long sleeves",extracted_images/2.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/2_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully follows the instruction to create a cropped blouse with a huge bow at the neckline that is closed at the right side. The long sleeves are also preserved. However, the bow and the cropping are not perfectly aligned with the original design, and there are slight distortions in the fabric pattern, which affects the perceptual quality."
3,"make it a cropped blouse, keep long sleeves, add a peplum like frill to the narrow neck line",extracted_images/3.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/3_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,8,8.0,"The edited image successfully converts the blouse into a cropped version while retaining the long sleeves. The addition of a peplum-like frill at the narrow neckline is well-executed, maintaining the overall aesthetic and pattern consistency. The visual quality is high, with clear details and accurate color representation."
4,"remove sleeves, add peplum",extracted_images/4.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/4_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,9,8,8.5,"The edited image successfully removes the sleeves and adds a peplum, closely following the instruction. The visual quality is high, with the peplum seamlessly integrated into the design. The only minor issue is a slight distortion in the pattern around the peplum area, which slightly affects the perceptual quality."
5,"remove sleeves, add frill to the hem in same fabric",extracted_images/5.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/5_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully removes the sleeves and adds a frill to the hem, following the instruction closely. However, the frill appears slightly uneven and the overall visual quality is not perfect, which slightly reduces the perceptual quality score."
6,"divide into two pieces: a cropped top without sleves and a long wide skirt with slit at center front that is belted at the waist, keep the silhouette of the initial coat",extracted_images/6.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/6_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully divides the original coat into two pieces as instructed: a cropped top without sleeves and a long wide skirt with a slit at the center front that is belted at the waist. However, the cropped top appears slightly unnatural in its proportions and the skirt's slit and belt are not perfectly aligned with the original coat's design. The overall visual quality is good but could be improved for better alignment and natural appearance."
7,"make a long voluminous skirt from this, belted as the initial coat, add topstitched rectangle pockets to the front",extracted_images/7.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/7_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully transforms the coat into a long voluminous skirt with a belt, and adds topstitched rectangle pockets to the front. However, the transition from coat to skirt is not perfectly seamless, and the overall visual quality has some minor inconsistencies, such as the alignment of the pattern and the belt. Despite these minor issues, the edit largely follows the instruction and maintains a high level of visual appeal."
8,"shorten the coat to cropped top, add a silver coating to the shwal collar",extracted_images/8.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/8_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,9,8,8.5,"The edited image successfully shortens the coat to a cropped top, which aligns well with the instruction. The silver coating on the shawl collar is accurately implemented, enhancing the visual appeal. The overall quality is high, with minor imperfections in the texture consistency, which slightly affects the perceptual quality."
9,cut the top to have a wide straight long wrap skirt belted at the side,extracted_images/9.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/9_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,8,7,7.5,"The edited image successfully follows the instruction to 'cut the top to have a wide straight long wrap skirt belted at the side.' The top has been altered to create a wrap skirt effect, and the belt is visible at the side. However, the visual quality of the edited image is slightly less sharp and has some minor distortions, particularly around the neckline and the belt area. These issues slightly detract from the overall aesthetic appeal."
10,cut the bottom to have a wide straight cropped top,extracted_images/10.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/10_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,9,8,8.5,"The edited image successfully follows the instruction to 'cut the bottom to have a wide straight cropped top' with high accuracy. The garment's bottom has been cleanly removed, resulting in a wide, straight cropped top. The visual quality of the edited image is good, with minimal distortion and a natural appearance. The overall effect is visually appealing and closely aligns with the given instruction."
11,replace upper part by yellow tulle shoulder yoke,extracted_images/11.png,local_model_evaluation_results/edited_images_step-81000_diffusers.safetensors/11_edited_step-81000_diffusers.safetensors.png,../models/curriculum/Qwen-Image-Edit_day_long_lora_rank16_lr8e-05,step-81000_diffusers.safetensors,9,8,8.5,"The edited image successfully replaces the upper part of the original t-shirt with a yellow tulle shoulder yoke, closely following the instruction. The visual quality is high, with the yellow tulle blending well with the rest of the garment. However, there is a slight discrepancy in the neckline area, which slightly reduces the perceptual quality."
