row_number,edit_instruction
2,"make a cropped blouse, add huge bow to the neckline that is closed at the right side, it is closed up the narrow to the neck, keep the long sleeves"
3,"make it a cropped blouse, keep long sleeves, add a peplum like frill to the narrow neck line"
4,"remove sleeves, add peplum"
5,"remove sleeves, add frill to the hem in same fabric"
6,"divide into two pieces: a cropped top without sleves and a long wide skirt with slit at center front that is belted at the waist, keep the silhouette of the initial coat"
7,"make a long voluminous skirt from this, belted as the initial coat, add topstitched rectangle pockets to the front"
8,"shorten the coat to cropped top, add a silver coating to the shwal collar"
9,cut the top to have a wide straight long wrap skirt belted at the side
10,cut the bottom to have a wide straight cropped top
11,replace upper part by yellow tulle shoulder yoke
12,add yellow tulle stripes to the side seams to bow front panel and back panel together
13,cut the top part to have a belted straight wide wrap skirt as the bottom part already is
14,cut the bottom part to have a cropped sleeveless vest
15,dip into back colour from bottom up to hipline
16,"colour the printed design of the dress as if overpainted by hand partly, keeping the white ground, use at all light rose beige shades, add white tulle frame to sleeves hem and hem"
17,"cut the bottom part, half of the piece and replace by black tulle bottom part"
18,"cut the sleeves make the shoulder higher and armhole with a black tulle framing, apply black tulle pieces to elevate the print design (on eyes and mouth)"
19,"put 30cm wide tulle straps that cross in center front to the cleavage, show bows on the shoulder with straps end hanging down for 50cm"
20,"put 30cm wide tulle strap only on the right side that cross in center front to the cleavage, show bows on the shoulder with straps end hanging down for 50cm"
21,add thick black thread stitches horizontally
22,attach gathered black raw edged black fabric tapes narrow and vertically in the shape of a bib to highlight the chest part of the blouse
23,attach a black padded bib opened in the center front n the width of the button placket
24,topstitch the upper part with thick thread in the shape of a womans portrait
25,dipdye in rose beige from buttom
26,"make longer by adding white tulle underskirt that looks 10cm out of the long skirt part, add long white tulle sleeves"
27,"make longer by adding white tulle underskirt that looks 20cm out of the long skirt part, add long white wing sleeves"
28,add black tulle shoulder yoke and long tulle sleeves as well as ablack tulle hemframe
29,"topstitch huge black tulle breast pockets over the initial position, cut the bottom part of the dress and add a transparent tulle layer skirtpart"
30,insert 10cm wide black tulle stripe to the sideseam
31,remove sleeves add a transparent tulle stripe that is inserted to the waistline as another fabric block
32,"shorten the dress to knee length, shorten sleeves to 3/4 sleeve, add voluminous bow with long bands to the waistline to gather voluminius skirt"
33,"make a short very puffy sleeve, add hemframe in goldlamé fabric to the kneelength volumninous skirt, remove the waistband"
34,"insert 20cm wide white tulle stripe vertically to centerfront and sideseams and center back to make the dress wider and belt the volume in the waistwith bow, shorten sleeve"
35,remove sleeves add 20cm long flat peplum
36,"make the item longer by adding one same jacket sewn upside down to the hem (hem to hem), it is opened to the bottom by cutting the shoulder and neckline, remove all sleeves to get a midi slip dress"
37,"add scarf in same fabric to the neckline, shorten sleeves"
38,shorten sleeve attach balloon pockets to the short sleeves
39,"attach frame to the hem in same fabric, add padded stiff wrapped scarf in same fabric"
40,remove collar and sleeves
41,make cutouts in the waistline
42,cut away collar and sleeves make longer with a hem frame in same fabric
43,"shorten as cropped jacket, attach shoulder epaulettes in same fabric"
44,"make the item longer by sewing another same blouse to the hem, the shoulder and neckline of second other bottom blouse is cut away to be be attached to the hem, sleeves of lower blouse are now at the hipline and can be used as belt"
45,"make crop top, add ruffle in same fabric to the armhole and shoulder seam to highlicht shoulder"
46,insert tulle shoulder yoke
47,add wide tulle sleeves
48,add voluminous tulle bow to gather the neckline
49,add tulle hemframe
50,add wide tulle sleeves
51,add voluminous tulle bow to gather the neckline
52,"add voluminous tulle bow to gather the neckline, shorten to blouse and make wide sleeves in same fabric"
53,"betone die raffung mit einem zusätzlich aufgesteppten weissen band, mache weisse grobe vertikale stiche auf das rückteil"
54,"insert white wide back panel below the gathering, make it a bit longer like a train"
55,add more horizontal drawstrings to the backpanel to tighten it
56,add frame of white fabric to the horzontal pleat at the chest and to the sideseams
57,add frame of 10cm white gathered tulle to the horizontal pleat at the chest and to the sideseam
58,add frame of 10cm black tulle to the horizontal pleat at the chest and to the hem
59,add a white volant to the hem to fill the gap
60,add a black transparent volant to the hem to fill the gap straight
61,cut the bottompart of the skirt and gather it to the waist like a hugne peplum
